location,sub_location,site,year,Acanthastrea,Acropora,Astreopora,Cyphastrea,Danafungia,Dipsastrea,Fungiidae_un,Gardineroseris,Herpolitha,Leptastrea,Leptoseris,Lithophyllon,Lobactis,Lobophyllia,Millepora,Montipora,Pachyseris,Pavona,Phymastrea,Plesiastrea,Pleuractis,Pocillopora,Porites,Porites_spp_Massive,Poritesirregularis,Poritesrus,Psammocora,Sandolitha,Stylocoeniella,Tubastrea
French_Polynesia,Moorea,LTER3_Outer_10,2007,0,9.946153846,0.761538462,0.015384615,0,1.297435897,0.897435897,0,0.017948718,1.028205128,0,0,0,0,0.174358974,0.735897436,0,0.782051282,0.279487179,0,0,12.01538462,3.484615385,0,0,0,0.328205128,0,0,0
French_Polynesia,Moorea,LTER3_Outer_17,2007,0,7.302857143,0.014285714,0,0,0,5.965714286,0.014285714,1.025714286,0.148571429,0.58,0,0,0,0,0.708571429,0,1.594285714,1.211428571,0,0,8.342857143,2.528571429,0,0,0,0.028571429,0,0.028571429,0
French_Polynesia,Moorea,LTER4_Fringing,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.48,0,0.0375,0,0,0,0,2.8475,0,0,0,0,0,0,0
French_Polynesia,Moorea,LTER4_Outer_10,2007,0,3.754285714,0.02,0,0,0.017142857,0,0,0,1.728571429,0,0,0,0,1.637142857,3.62,0,0.597142857,0.451428571,0,0,18.86857143,2.277142857,0,0,0,0,0,0,0
French_Polynesia,Moorea,LTER4_Outer_17,2007,0.028205128,8.448717949,0.051282051,0.041025641,0,0,0.315384615,0.038461538,0,0.512820513,0.08974359,0,0,0,0.458974359,0.88974359,0,0.469230769,0.848717949,0,0,21.65897436,1.048717949,0,0,0,0.038461538,0.012820513,0.012820513,0
French_Polynesia,Moorea,LTER5_Fringing,2007,0,0,0,0,0,0,0.069444444,0,0,0.013888889,0,0,0,0,0,0.625,0,1.2,0,0,0,0.825,36.26944444,0,0,0,0,0,0,0
French_Polynesia,Moorea,LTER5_Outer_10,2007,0,2.94,0.935,0,0,0,0.03,0,0,0.9825,0,0,0,0,0,6.7875,0,0.32,0.4575,0,0,17.9075,4.2325,0,0,0,0,0,0,0
French_Polynesia,Moorea,LTER5_Outer_17,2007,0.012820513,6.697435897,0.41025641,0.025641026,0,0,0,0.051282051,0.066666667,1.143589744,0,0,0,0,0.038461538,1.735897436,0,0.364102564,0.851282051,0,0,14.89487179,7.202564103,0,0,0,0.115384615,0,0.115384615,0
French_Polynesia,Moorea,LTER6_Fringing,2007,0,0,0,0,0,0,0.039473684,0.013157895,0,0,0,0,0,0,0,4.889473684,0,10.73947368,0,0,0,0.634210526,0.184210526,0,0,0,0,0,0,0
French_Polynesia,Moorea,LTER6_Outer_10,2007,0,7.5275,0.705,0.0625,0,0,0.015,0.0125,0,0.8625,0.015,0,0,0,1.875,2.9375,0,1.2725,0.6825,0,0,23.8,2.4325,0,0,0,0.175,0,0,0
French_Polynesia,Moorea,LTER6_Outer_17,2007,0.0775,2.4325,0,0.0125,0,0.025,0,0.0875,0,0.18,0.0125,0,0,0.0525,0.0625,1.3125,0,0.4575,0.505,0,0,6.5425,1.205,0,0,0,0.0625,0,0,0
French_Polynesia,Moorea,LTER1_Fringing,2008,0,0,0,0,0,0,0.0125,0,0,0.0125,0,0,0,0,0,0.025,0,0,0,0,0,0.0125,30.6925,0,0,0,0,0,0,0
French_Polynesia,Moorea,LTER1_Outer_10,2008,0,2.176315789,0,0,0,0.013157895,0.013157895,0.052631579,0,0.131578947,0,0,0,0,0.210526316,0.223684211,0,0.105263158,0.394736842,0,0,12.26578947,6.407894737,0,0,0,0,0,0.013157895,0
French_Polynesia,Moorea,LTER1_Outer_17,2008,0.014285714,0.057142857,0,0,0,0,0.028571429,0.028571429,0.174285714,0.057142857,0.014285714,0,0,0,1.171428571,0.171428571,0,0.174285714,0.231428571,0,0,0.157142857,8.634285714,0,0,0,0,0,0,0
French_Polynesia,Moorea,LTER2_Fringing,2008,0,0.1525,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.05,0,0.3375,0,0,0,0.2775,43.24,0,0,0,0,0,0,0
