Location,Sub_location,Site_name,Year,Orbicella_annularis,Agaricia_agaricites,Agaricia_humilis,Colpophyllia_natans,Dendrogyra_cylindrica,Dichocoenia_stokesii,Diploria_labyrinthiformis,Pseudodiploria_strigosa,Eusmilia_fastigiata,Favia_fragum,Madracis_decactis,Montastraea_cavernosa,Orbicella_faveolata,Orbicella_franksi,Meandrina_meandrites,Mussa_angulosa,Porites_astreoides,Porites_porites,Stephanocoenia_intersepta,Siderastrea_radians,Siderastrea_siderea,Madracis_mirabilis,Mancina_areolata,Porites_furcata,Mycetophyllia_aliciae,Acropora_cervicornis,Acropora_palmata,Isophyllia_sinuosa,Scolymia_cubensis,Porites_divaricata,Mycetophyllia_lamarckiana,Total_Coral_Cover
USVI,St_John,East_Tektite,1996,0.47,0.41,0.00,0.00,0.00,0.00,0.13,0.08,0.00,0.00,0.00,0.56,0.00,1.10,0.00,0.00,0.33,0.13,0.00,0.00,1.51,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.72
USVI,St_John,East_Tektite,1997,1.40,0.23,0.00,0.00,0.00,0.00,0.00,0.41,0.00,0.00,0.00,0.00,0.00,1.68,0.00,0.00,0.32,0.06,0.00,0.00,2.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.39
USVI,St_John,East_Tektite,1998,3.00,0.29,0.03,0.00,0.00,0.00,0.00,0.76,0.03,0.00,0.00,1.12,0.00,0.00,0.00,0.00,0.06,0.18,0.00,0.00,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.74
USVI,St_John,East_Tektite,1999,1.30,0.03,0.00,0.00,0.00,0.00,0.00,0.87,0.11,0.00,0.00,1.39,0.00,0.00,0.00,0.00,0.47,0.37,0.00,0.00,1.78,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.34
USVI,St_John,East_Tektite,2000,0.00,0.14,0.00,0.00,0.00,0.00,0.47,0.00,0.00,0.00,0.00,0.81,0.23,1.87,0.04,0.00,0.60,0.01,0.00,0.00,1.16,0.01,0.00,0.10,0.00,0.00,0.00,0.01,0.00,0.00,0.00,5.46
USVI,St_John,East_Tektite,2001,1.06,0.26,0.00,0.00,0.19,0.00,0.00,0.45,0.08,0.00,0.00,0.07,0.03,0.00,0.00,0.00,0.31,0.22,0.00,0.00,1.18,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00
USVI,St_John,East_Tektite,2002,0.64,0.21,0.11,0.00,0.04,0.00,1.70,0.00,0.00,0.00,0.00,0.51,0.00,1.32,0.00,0.00,0.27,0.28,0.00,0.00,0.33,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.62
USVI,St_John,East_Tektite,2003,2.47,0.48,0.00,0.00,0.00,0.00,0.38,0.34,0.04,0.00,0.00,0.26,0.00,0.00,0.03,0.00,0.48,0.60,0.00,0.00,0.51,0.00,0.00,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.11
USVI,St_John,East_Tektite,2004,0.40,0.21,0.05,0.00,0.24,0.00,0.58,0.05,0.04,0.00,0.00,0.17,2.16,0.47,0.04,0.00,0.37,0.05,0.00,0.08,0.45,0.00,0.00,0.29,0.00,0.05,0.00,0.00,0.00,0.00,0.00,5.69
USVI,St_John,East_Tektite,2005,2.62,0.78,0.11,0.00,0.00,0.00,0.54,0.37,0.00,0.00,0.00,0.84,0.00,0.00,0.07,0.00,0.57,0.90,0.00,0.01,0.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.67
USVI,St_John,East_Tektite,2006,1.40,0.00,0.00,0.01,0.37,0.03,0.04,0.12,0.00,0.00,0.00,0.36,0.26,0.15,0.12,0.00,0.82,0.44,0.00,0.01,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,4.68
USVI,St_John,East_Tektite,2007,0.05,0.01,0.00,0.09,0.00,0.01,0.03,0.05,0.00,0.00,0.01,0.68,0.67,0.53,0.03,0.04,0.48,2.05,0.00,0.00,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.11
USVI,St_John,East_Tektite,2008,0.07,0.10,0.03,0.04,0.09,0.00,0.08,0.17,0.04,0.00,0.00,0.59,0.56,0.12,0.04,0.00,0.86,0.23,0.00,0.00,0.49,0.00,0.00,1.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.95
USVI,St_John,East_Tektite,2009,1.48,0.19,0.00,0.00,0.04,0.00,0.04,0.06,0.03,0.00,0.00,0.44,0.00,0.05,0.09,0.03,0.83,0.94,0.00,0.00,0.56,0.00,0.01,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.82
USVI,St_John,East_Tektite,2010,1.93,0.18,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.00,0.00,0.56,0.00,0.00,0.23,0.00,1.03,0.46,0.00,0.00,0.59,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.46
USVI,St_John,East_Tektite,2011,1.81,0.06,0.00,0.09,0.00,0.05,0.00,0.12,0.01,0.00,0.00,0.24,0.00,0.00,0.13,0.00,0.91,0.41,0.00,0.00,0.64,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.55
USVI,St_John,East_Tektite,2012,0.20,0.35,0.00,0.04,0.00,0.06,0.00,0.00,0.01,0.00,0.25,0.82,0.00,0.00,0.09,0.00,0.68,0.71,0.00,0.00,0.87,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17
USVI,St_John,East_Tektite,2013,0.00,0.14,0.08,0.01,0.00,0.00,0.05,0.14,0.01,0.00,0.00,0.84,1.03,0.71,0.16,0.05,0.95,0.11,0.05,0.00,0.77,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.01,0.00,5.32
USVI,St_John,East_Tektite,2014,0.00,0.18,0.01,0.05,0.00,0.03,0.14,0.04,0.00,0.00,0.21,0.58,1.84,0.00,0.03,0.00,0.88,0.11,0.04,0.03,0.80,0.00,0.00,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.36
USVI,St_John,East_Tektite,2015,0.31,0.17,0.00,0.01,0.00,0.00,0.03,0.00,0.04,0.00,0.10,0.33,0.41,0.78,0.04,0.09,0.58,0.27,0.00,0.03,0.53,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.74
USVI,St_John,Europa_Bay,1992,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.15,0.00,0.00,3.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.01
USVI,St_John,Europa_Bay,1993,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,2.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.73
USVI,St_John,Europa_Bay,1994,0.31,0.08,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.31,0.00,0.00,1.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.87
USVI,St_John,Europa_Bay,1995,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.03,0.00,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.61
USVI,St_John,Europa_Bay,1996,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.00,0.00,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.81
USVI,St_John,Europa_Bay,1997,0.00,0.15,0.00,0.00,0.00,0.33,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.41
USVI,St_John,Europa_Bay,1998,0.00,0.09,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.03,0.00,0.00,2.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.33
